Date,Open,High,Low,Close,Adj Close,Volume
2024-03-21,177.0500030517578,177.49000549316406,170.83999633789062,171.3699951171875,170.94000244140625,106181300
2024-03-22,171.75999450683594,173.0500030517578,170.05999755859375,172.27999877929688,171.84771728515625,71106600
2024-03-25,170.57000732421875,171.94000244140625,169.4499969482422,170.85000610351562,170.42132568359375,54288300
2024-03-26,170.0,171.4199981689453,169.5800018310547,169.7100067138672,169.2841796875,57388400
2024-03-27,170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375,172.87513732910156,60273300
2024-03-28,171.75,172.22999572753906,170.50999450683594,171.47999572753906,171.0497283935547,65672700
2024-04-01,171.19000244140625,171.25,169.47999572753906,170.02999877929688,169.60337829589844,46240500
2024-04-02,169.0800018310547,169.33999633789062,168.22999572753906,168.83999633789062,168.41635131835938,49329500
2024-04-03,168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438,169.22433471679688,47691700
2024-04-04,170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,168.39642333984375,53704400
2024-04-05,169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,169.15451049804688,42055200
2024-04-08,169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422,168.02734375,37425500
2024-04-09,168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453,169.24427795410156,42451200
2024-04-10,168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,167.3590087890625,49709300
2024-04-11,168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328,174.60079956054688,91070300
2024-04-12,174.25999450683594,178.36000061035156,174.2100067138672,176.5500030517578,176.10702514648438,101593300
2024-04-15,175.36000061035156,176.6300048828125,172.5,172.69000244140625,172.25669860839844,73531800
2024-04-16,171.75,173.75999450683594,168.27000427246094,169.3800048828125,168.95501708984375,73711200
2024-04-17,169.61000061035156,170.64999389648438,168.0,168.0,167.57847595214844,50901200
2024-04-18,168.02999877929688,168.63999938964844,166.5500030517578,167.0399932861328,166.62086486816406,43122900
2024-04-19,166.2100067138672,166.39999389648438,164.0800018310547,165.0,164.58599853515625,67772100
2024-04-22,165.52000427246094,167.25999450683594,164.77000427246094,165.83999633789062,165.4238739013672,48116400
2024-04-23,165.35000610351562,167.0500030517578,164.9199981689453,166.89999389648438,166.48121643066406,49537800
2024-04-24,166.5399932861328,169.3000030517578,166.2100067138672,169.02000427246094,168.59591674804688,48251800
2024-04-25,169.52999877929688,170.61000061035156,168.14999389648438,169.88999938964844,169.46372985839844,50558300
2024-04-26,169.8800048828125,171.33999633789062,169.17999267578125,169.3000030517578,168.87521362304688,44838400
2024-04-29,173.3699951171875,176.02999877929688,173.10000610351562,173.5,173.06466674804688,68169400
2024-04-30,173.3300018310547,174.99000549316406,170.0,170.3300018310547,169.90261840820312,65934800
2024-05-01,169.5800018310547,172.7100067138672,169.11000061035156,169.3000030517578,168.87521362304688,50383100
2024-05-02,172.50999450683594,173.4199981689453,170.88999938964844,173.02999877929688,172.59585571289062,94214900
2024-05-03,186.64999389648438,187.0,182.66000366210938,183.3800048828125,182.9198760986328,163224100
2024-05-06,182.35000610351562,184.1999969482422,180.4199981689453,181.7100067138672,181.2540740966797,78569700
2024-05-07,183.4499969482422,184.89999389648438,181.32000732421875,182.39999389648438,181.9423370361328,77305800
2024-05-08,182.85000610351562,183.07000732421875,181.4499969482422,182.74000549316406,182.281494140625,45057100
2024-05-09,182.55999755859375,184.66000366210938,182.11000061035156,184.57000732421875,184.10690307617188,48983000
2024-05-10,184.89999389648438,185.08999633789062,182.1300048828125,183.0500030517578,182.83836364746094,50759500
2024-05-13,185.44000244140625,187.10000610351562,184.6199951171875,186.27999877929688,186.06463623046875,72044800
2024-05-14,187.50999450683594,188.3000030517578,186.2899932861328,187.42999267578125,187.2133026123047,52393600
2024-05-15,187.91000366210938,190.64999389648438,187.3699951171875,189.72000122070312,189.5006561279297,70400000
2024-05-16,190.47000122070312,191.10000610351562,189.66000366210938,189.83999633789062,189.62051391601562,52845200
2024-05-17,189.50999450683594,190.80999755859375,189.17999267578125,189.8699951171875,189.65048217773438,41282900
2024-05-20,189.3300018310547,191.9199981689453,189.00999450683594,191.0399932861328,190.81912231445312,44361300
